label,period_start,period_label,year,quarter,trend_mean,trend_max,trend_min,trend_sum,n_points
t-shirt,2020-01-01,2020Q1,2020,1,20.333333333333332,22.0,19.0,61.0,3
t-shirt,2020-04-01,2020Q2,2020,2,31.0,35.0,26.0,93.0,3
t-shirt,2020-07-01,2020Q3,2020,3,29.666666666666668,33.0,26.0,89.0,3
t-shirt,2020-10-01,2020Q4,2020,4,25.333333333333332,26.0,25.0,76.0,3
t-shirt,2021-01-01,2021Q1,2021,1,25.0,28.0,22.0,75.0,3
t-shirt,2021-04-01,2021Q2,2021,2,32.0,35.0,30.0,96.0,3
t-shirt,2021-07-01,2021Q3,2021,3,32.0,33.0,30.0,96.0,3
t-shirt,2021-10-01,2021Q4,2021,4,28.0,28.0,28.0,84.0,3
t-shirt,2022-01-01,2022Q1,2022,1,30.333333333333332,34.0,27.0,91.0,3
t-shirt,2022-04-01,2022Q2,2022,2,40.0,43.0,38.0,120.0,3
t-shirt,2022-07-01,2022Q3,2022,3,37.666666666666664,41.0,35.0,113.0,3
t-shirt,2022-10-01,2022Q4,2022,4,30.666666666666668,31.0,30.0,92.0,3
t-shirt,2023-01-01,2023Q1,2023,1,28.666666666666668,31.0,27.0,86.0,3
t-shirt,2023-04-01,2023Q2,2023,2,40.0,44.0,36.0,120.0,3
t-shirt,2023-07-01,2023Q3,2023,3,38.0,40.0,36.0,114.0,3
t-shirt,2023-10-01,2023Q4,2023,4,32.0,33.0,31.0,96.0,3
t-shirt,2024-01-01,2024Q1,2024,1,31.666666666666668,36.0,28.0,95.0,3
t-shirt,2024-04-01,2024Q2,2024,2,42.666666666666664,46.0,38.0,128.0,3
t-shirt,2024-07-01,2024Q3,2024,3,42.0,44.0,39.0,126.0,3
t-shirt,2024-10-01,2024Q4,2024,4,34.333333333333336,35.0,33.0,103.0,3
t-shirt,2025-01-01,2025Q1,2025,1,33.333333333333336,36.0,31.0,100.0,3
t-shirt,2025-04-01,2025Q2,2025,2,41.666666666666664,44.0,39.0,125.0,3
t-shirt,2025-07-01,2025Q3,2025,3,52.666666666666664,57.0,48.0,158.0,3
t-shirt,2025-10-01,2025Q4,2025,4,38.0,38.0,38.0,38.0,1
